long_name,short_name,geolocation,is_goverment,rating,logo,website
Кировский государственный медицинский университет,Кировский ГМУ,Кировская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/kirovgma.png,https://www.kirovgma.ru/
Комсомольский-на-Амуре государственный университет,КнАГУ,Хабаровский край,Гос.вуз,C,https://tabiturient.ru/logovuz/knastu.png,https://knastu.ru/
Нижегородский государственный инженерно-экономический университет,Княгининский университет,Нижегородская область,Гос.вуз,C,https://tabiturient.ru/logovuz/ngieu.png,http://ngieu.ru/
Костромская государственная сельскохозяйственная академия,Костромская ГСХА,Костромская область,Гос.вуз,C,https://tabiturient.ru/logovuz/kgsxa.png,https://kgsxa.ru/
Красноярский государственный аграрный университет,КрасГАУ,Красноярский край,Гос.вуз,B-,https://tabiturient.ru/logovuz/krasgau.png,http://www.kgau.ru/
Красноярский государственный медицинский университет,КрасГМУ,Красноярский край,Гос.вуз,A,https://tabiturient.ru/logovuz/krasgmu.png,https://krasgmu.ru/
Кубанский государственный аграрный университет имени И.Т. Трубилина,КубГАУ,Краснодарский край,Гос.вуз,B+,https://tabiturient.ru/logovuz/kubsau.png,https://kubsau.ru/
Кубанский государственный медицинский университет,КубГМУ,Краснодарский край,Гос.вуз,A,https://tabiturient.ru/logovuz/ksma.png,http://www.ksma.ru/
Кубанский государственный технологический университет,КубГТУ,Краснодарский край,Гос.вуз,B,https://tabiturient.ru/logovuz/kubstu.png,https://kubstu.ru/
Кубанский государственный университет,КубГУ,Краснодарский край,Гос.вуз,A-,https://tabiturient.ru/logovuz/kubsu.png,https://kubsu.ru/ru
Кузбасский государственный технический университет имени Т. Ф. Горбачева,КузГТУ им. Т.Ф. Горбачева,Кемеровская область,Гос.вуз,C,https://tabiturient.ru/logovuz/kuzstu.png,https://www.kuzstu.ru/
Кузбасский государственный аграрный университет имени В.Н. Полецкова,Кузбасский ГАУ,Кемеровская область,Гос.вуз,B,https://tabiturient.ru/logovuz/ksai.png,http://www.ksai.ru/
Курганская государственная сельскохозяйственная академия имени Т. С. Мальцева,Курганская ГСХА им. Т.С. Мальцева,Курганская область,Гос.вуз,C,https://tabiturient.ru/logovuz/ksaazaural.png,https://www.ksaa.zaural.ru/
Курский государственный аграрный университет имени И.И. Иванова,Курский ГАУ им. И.И. Иванова,Курская область,Гос.вуз,C,https://tabiturient.ru/logovuz/kgsha.png,https://kursksau.ru/
Липецкий государственный педагогический университет имени П.П. Семенова-Тян-Шанского,ЛГПУ,Липецкая область,Гос.вуз,B,https://tabiturient.ru/logovuz/lspulipetsk.png,http://lspu-lipetsk.ru/
Липецкий государственный технический университет,ЛГТУ,Липецкая область,Гос.вуз,B-,https://tabiturient.ru/logovuz/stulipetsk.png,http://www.stu.lipetsk.ru/
Ленинградский государственный университет,ЛГУ им. А.С. Пушкина,Санкт-Петербург и Ленинградская область,Гос.вуз,A,https://tabiturient.ru/logovuz/lgu_pushkin.png,http://lengu.ru/
Литературный институт имени А.М. Горького,ЛИ им. А.М. Горького,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/litinstitut.png,http://litinstitut.ru/
Московский автомобильно-дорожный государственный технический университет,МАДИ,Москва и Московская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/madi.png,http://www.madi.ru/
Московский авиационный институт,МАИ,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/mai.png,https://mai.ru/
Московский архитектурный институт (государственная академия),МАРХИ,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/marhi.png,http://www.marhi.ru/
Мурманский арктический университет,МАУ,Мурманская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/masu.png,https://www.mauniver.ru/
Московская государственная академия ветеринарной медицины и биотехнологии - МВА имени К.И. Скрябина,МГАВМиБ-МВА имени К.И. Скрябина,Москва и Московская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/mgavm.png,http://mgavm.ru/
Московский Государственный Институт (университет) Международных Отношений,МГИМО,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mgimo.png,https://mgimo.ru/
Одинцовский филиал Московского государственного института международных отношений МИД России,МГИМО Одинцово,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mgimo_odintsovo.png,https://odin.mgimo.ru/
Московский государственный лингвистический университет,МГЛУ,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mglu.png,https://linguanet.ru/
Московский государственный медико-стоматологический университет им. А.И. Евдокимова,МГМСУ,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mgmsu.png,http://www.msmsu.ru/
Первый Московский государственный медицинский университет имени И. М. Сеченова,МГМУ им. Сеченова,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mgmu.png,https://www.sechenov.ru/
"Технологический университет имени дважды Героя Советского Союза, летчика-космонавта А.А. Леонова",МГОТУ им. А.А. Леонова,Москва и Московская область,Гос.вуз,B,https://tabiturient.ru/logovuz/unitechmo.png,https://unitech-mo.ru/
Московский Государственный Психолого-Педагогический Университет,МГППУ,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/mgppu.png,http://mgppu.ru/
Московский Городской Педагогический Университет,МГПУ,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mgpu.png,https://www.mgpu.ru/
Мордовский государственный педагогический университет имени М.Е. Евсевьева,МГПУ им. М.Е. Евсевьева,Республика Мордовия,Гос.вуз,B,https://tabiturient.ru/logovuz/mordgpi.png,https://www.mordgpi.ru/
Российский государственный геологоразведочный университет имени Серго Орджоникидзе,МГРИ,Москва и Московская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/mgri.png,https://www.mgri.ru/
Майкопский государственный технологический университет,МГТУ,Республика Адыгея,Гос.вуз,B-,https://tabiturient.ru/logovuz/mkgtu.png,https://mkgtu.ru/
Мурманский государственный технический университет,МГТУ,Мурманская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/mstu.png,https://www.mauniver.ru/
Московский государственный технологический университет «СТАНКИН»,МГТУ «СТАНКИН»,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/stankin.png,http://www.stankin.ru/
Московский государственный технический университет гражданской авиации,МГТУ ГА,Москва и Московская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/mstuca.png,http://www.mstuca.ru/
Московский государственный технический университет имени Н.Э. Баумана,МГТУ им. Баумана,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mgtu.png,http://www.bmstu.ru/
Магнитогорский государственный технический университет им. Г.И. Носова,МГТУ им. Г.И. Носова,Челябинская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/magtu.png,https://www.magtu.ru/
Московский Государственный Университет им. Ломоносова,МГУ им. Ломоносова,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/msu.png,http://www.msu.ru/
Филиал МГУ имени М.В.Ломоносова в городе Севастополь,МГУ им. Ломоносова в Севастополе,Республика Крым и Севастополь,Гос.вуз,B+,https://tabiturient.ru/logovuz/sevmsu.png,https://sev.msu.ru/
Морской государственный институт имени адмирала Г.И. Невельского,МГУ им. адм. Г.И. Невельского,Приморский край,Гос.вуз,C,https://tabiturient.ru/logovuz/msun.png,https://www.msun.ru/
Национальный исследовательский Мордовский государственный университет имени Н.П. Огарева,МГУ имени Н.П. Огарева,Республика Мордовия,Гос.вуз,B+,https://tabiturient.ru/logovuz/mrsu.png,https://www.mrsu.ru/ru/
Московский государственный университет технологий и управления им. К.Г. Разумовского,МГУТУ им. К.Г. Разумовского,Москва и Московская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/mgutu.png,http://www.mgutm.ru/
Московский государственный юридический университет имени О. Е. Кутафина,МГЮА им. Кутафина,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mgua.png,https://www.msal.ru/
Московский государственный университет геодезии и картографии,МИИГАиК,Москва и Московская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/miigaik.png,http://www.miigaik.ru/
Национальный исследовательский университет Московский институт электронной техники,МИЭТ,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/miet.png,https://miet.ru/
Московский Педагогический Государственный Университет,МПГУ,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/mpgu.png,http://mpgu.su/
Московский технический университет связи и информатики,МТУСИ,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/mtusi.png,http://www.mtuci.ru/
Московский Физико-Технический Институт (государственный университет),МФТИ,Москва и Московская область,Гос.вуз,A+,https://tabiturient.ru/logovuz/mfti.png,https://mipt.ru/
Марийский государственный университет,МарГУ,Республика Марий Эл,Гос.вуз,B,https://tabiturient.ru/logovuz/marsu.png,https://marsu.ru/
Мичуринский государственный аграрный университет,МичГАУ,Тамбовская область,Гос.вуз,C,https://tabiturient.ru/logovuz/mgau.png,http://mgau.ru/
Московский политехнический университет,Московский Политех,Москва и Московская область,Гос.вуз,A,https://tabiturient.ru/logovuz/mospolytech.png,http://mospolytech.ru/
Нижневартовский государственный университет,НВГУ,Ханты-Мансийский автономный округ — Югра,Гос.вуз,B-,https://tabiturient.ru/logovuz/nvsu.png,https://nvsu.ru/
Новосибирский государственный архитектурно-строительный университет,НГАСУ,Новосибирская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/sibstrin.png,http://www.sibstrin.ru/
Новосибирский государственный аграрный университет,НГАУ,Новосибирская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/nsau.png,https://nsau.edu.ru/
Невинномысский государственный гуманитарно-технический институт,НГГТИ,Ставропольский край,Гос.вуз,C,https://tabiturient.ru/logovuz/nngti.png,http://нггти.рф
Нижегородский государственный лингвистический университет имени Н.А. Добролюбова,НГЛУ им. Н.А. Добролюбова,Нижегородская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/lunn.png,https://lunn.ru/
Новосибирский государственный медицинский университет,НГМУ,Новосибирская область,Гос.вуз,A,https://tabiturient.ru/logovuz/ngmu.png,http://ngmu.ru/
