direction,profile,program_code,vuz,faculty,exams,scores,forms
Эксплуатация судового электрооборудования и средств автоматики,Эксплуатация судового электрооборудования и средств автоматики; Эксплуатация электрооборудования и автоматики судов с ядерными энергетическими установками,26.05.07,МГУ им. адм. Г.И. Невельского,Электромеханический факультет,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['134', 'очно']]","[{'education_form2': 'Очная', 'score': '134', 'free_places': '40', 'average_score': '189', 'olympic': 'no data', 'price': -343000}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '189', 'olympic': 'no data', 'price': -160000}]"
Прикладная математика и информатика,Без профиля,01.03.02,МГУ имени Н.П. Огарева,Факультет математики и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['180', 'очно']]","[{'education_form2': 'Очная', 'score': '180', 'free_places': '24', 'average_score': '216', 'olympic': '4%', 'price': -111300}]"
Статистика,"Бизнес-аналитика в
цифровой экономике",01.03.05,МГУ имени Н.П. Огарева,Экономический институт,"[['РЯ'], ['M'], ['ИКТ', 'О']]","[['210', 'очно']]","[{'education_form2': 'Очная', 'score': '210', 'free_places': '30', 'average_score': '230', 'olympic': 'no data', 'price': -111300}]"
Фундаментальная информатика и информационные технологии,"Fundamental
Informatics and Information Technologies",02.03.02,МГУ имени Н.П. Огарева,Факультет математики и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -154300}]"
Фундаментальная информатика и информационные технологии,Без профиля,02.03.02,МГУ имени Н.П. Огарева,Факультет математики и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['152', 'очно']]","[{'education_form2': 'Очная', 'score': '152', 'free_places': '50', 'average_score': '199', 'olympic': 'no data', 'price': -111300}]"
География,Без профиля,05.03.02,МГУ имени Н.П. Огарева,Институт геоинформационных технологий и географии,"[['РЯ'], ['Г'], ['Б', 'M']]","[['129', 'очно']]","[{'education_form2': 'Очная', 'score': '129', 'free_places': '25', 'average_score': '161', 'olympic': 'no data', 'price': -127500}]"
Картография и геоинформатика,Без профиля,05.03.03,МГУ имени Н.П. Огарева,Институт геоинформационных технологий и географии,"[['РЯ'], ['Г'], ['ИКТ', 'M']]","[['137', 'очно']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '25', 'average_score': '159', 'olympic': 'no data', 'price': -127500}]"
Экология и природопользование,Без профиля,05.03.06,МГУ имени Н.П. Огарева,Институт геоинформационных технологий и географии,"[['РЯ'], ['Г'], ['Б', 'M']]","[['130', 'очно']]","[{'education_form2': 'Очная', 'score': '130', 'free_places': '25', 'average_score': '153', 'olympic': 'no data', 'price': -127500}]"
Биология,Без профиля,06.03.01,МГУ имени Н.П. Огарева,Факультет биотехнологии и биологии,"[['РЯ'], ['Б'], ['M', 'Х']]","[['147', 'очно']]","[{'education_form2': 'Очная', 'score': '147', 'free_places': '25', 'average_score': '176', 'olympic': 'no data', 'price': -127500}]"
Архитектура,Без профиля,07.03.01,МГУ имени Н.П. Огарева,Институт архитектуры и строительства,"[['РЯ'], ['M'], ['ДЭ']]","[['131', 'очно']]","[{'education_form2': 'Очная', 'score': '131', 'free_places': '26', 'average_score': '151', 'olympic': 'no data', 'price': -127500}]"
Строительство,"Промышленное и
гражданское строительство",08.03.01,МГУ имени Н.П. Огарева,Институт архитектуры и строительства,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['132', 'очно']]","[{'education_form2': 'Очная', 'score': '132', 'free_places': '22', 'average_score': '184', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '184', 'olympic': 'no data', 'price': -76500}]"
Информатика и вычислительная техника,Без профиля,09.03.01,МГУ имени Н.П. Огарева,Институт электроники и светотехники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['179', 'очно']]","[{'education_form2': 'Очная', 'score': '179', 'free_places': '48', 'average_score': '209', 'olympic': 'no data', 'price': -127500}]"
Программная инженерия,Без профиля,09.03.04,МГУ имени Н.П. Огарева,Факультет математики и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['201', 'очно']]","[{'education_form2': 'Очная', 'score': '201', 'free_places': '50', 'average_score': '228', 'olympic': 'no data', 'price': -127500}]"
Информационная безопасность,Без профиля,10.03.01,МГУ имени Н.П. Огарева,Институт электроники и светотехники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['177', 'очно']]","[{'education_form2': 'Очная', 'score': '177', 'free_places': '22', 'average_score': '206', 'olympic': '9%', 'price': -127500}]"
Электроника и наноэлектроника,Без профиля,11.03.04,МГУ имени Н.П. Огарева,Институт электроники и светотехники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['161', 'очно'], ['164', 'заоч.']]","[{'education_form2': 'Очная', 'score': '161', 'free_places': '50', 'average_score': '184', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Заочная', 'score': '164', 'free_places': '25', 'average_score': '184', 'olympic': 'no data', 'price': -76500}]"
Фотоника и оптоинформатика,Без профиля,12.03.03,МГУ имени Н.П. Огарева,Институт наукоемких технологий и новых материалов,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['136', 'очно']]","[{'education_form2': 'Очная', 'score': '136', 'free_places': '24', 'average_score': '171', 'olympic': 'no data', 'price': -127500}]"
Теплоэнергетика и теплотехника,Без профиля,13.03.01,МГУ имени Н.П. Огарева,Институт механики и энергетики,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['123', 'очно'], ['148', 'заоч.']]","[{'education_form2': 'Очная', 'score': '123', 'free_places': '25', 'average_score': '159', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Заочная', 'score': '148', 'free_places': '25', 'average_score': '159', 'olympic': 'no data', 'price': -76500}]"
Электроэнергетика и электротехника,Электроснабжение,13.03.02,МГУ имени Н.П. Огарева,Институт механики и энергетики,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['131', 'очно'], ['162', 'заоч.']]","[{'education_form2': 'Очная', 'score': '131', 'free_places': '24', 'average_score': '159', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Заочная', 'score': '162', 'free_places': '25', 'average_score': '159', 'olympic': 'no data', 'price': -76500}]"
Электроэнергетика и электротехника,Электропривод и автоматика,13.03.02,МГУ имени Н.П. Огарева,Институт электроники и светотехники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['167', 'очно'], ['168', 'заоч.']]","[{'education_form2': 'Очная', 'score': '167', 'free_places': '25', 'average_score': '192', 'olympic': '8%', 'price': -127500}, {'education_form2': 'Заочная', 'score': '168', 'free_places': '25', 'average_score': '192', 'olympic': '8%', 'price': -76500}]"
Автоматизация технологических процессов и производств,Без профиля,15.03.04,МГУ имени Н.П. Огарева,Рузаевский институт машиностроения,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['162', 'заоч.']]","[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Заочная', 'score': '162', 'free_places': '19', 'average_score': 'no data', 'olympic': 'no data', 'price': -76500}]"
Конструкторско-технологическое обеспечение машиностроительных производств,Без профиля,15.03.05,МГУ имени Н.П. Огарева,Рузаевский институт машиностроения,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -76500}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -76500}]"
Химическая технология,Без профиля,18.03.01,МГУ имени Н.П. Огарева,Институт наукоемких технологий и новых материалов,"[['РЯ'], ['M'], ['Б', 'Х']]","[['139', 'очно']]","[{'education_form2': 'Очная', 'score': '139', 'free_places': '25', 'average_score': '164', 'olympic': 'no data', 'price': -127500}]"
Биотехнология,Без профиля,19.03.01,МГУ имени Н.П. Огарева,Факультет биотехнологии и биологии,"[['РЯ'], ['M'], ['Б', 'Ф']]","[['124', 'очно'], ['164', 'заоч.']]","[{'education_form2': 'Очная', 'score': '124', 'free_places': '25', 'average_score': '178', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Заочная', 'score': '164', 'free_places': '24', 'average_score': '178', 'olympic': 'no data', 'price': -76500}]"
Продукты питания животного происхождения,Без профиля,19.03.03,МГУ имени Н.П. Огарева,Аграрный институт,"[['РЯ'], ['M'], ['Б', 'Х']]","[['123', 'очно']]","[{'education_form2': 'Очная', 'score': '123', 'free_places': '21', 'average_score': '162', 'olympic': 'no data', 'price': -127500}]"
Техносферная безопасность,Без профиля,20.03.01,МГУ имени Н.П. Огарева,Институт механики и энергетики,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['133', 'очно']]","[{'education_form2': 'Очная', 'score': '133', 'free_places': '25', 'average_score': '177', 'olympic': 'no data', 'price': -127500}]"
Землеустройство и кадастры,Без профиля,21.03.02,МГУ имени Н.П. Огарева,Институт геоинформационных технологий и географии,"[['РЯ'], ['M'], ['Г', 'Ф']]","[['139', 'очно'], ['199', 'заоч.']]","[{'education_form2': 'Очная', 'score': '139', 'free_places': '25', 'average_score': '181', 'olympic': 'no data', 'price': -155700}, {'education_form2': 'Заочная', 'score': '199', 'free_places': '25', 'average_score': '181', 'olympic': 'no data', 'price': -93500}]"
Эксплуатация транспортно-технологических машин и комплексов,Без профиля,23.03.03,МГУ имени Н.П. Огарева,Институт механики и энергетики,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['181', 'очно']]","[{'education_form2': 'Очная', 'score': '181', 'free_places': '24', 'average_score': '196', 'olympic': 'no data', 'price': -127500}]"
Стандартизация и метрология,Без профиля,27.03.01,МГУ имени Н.П. Огарева,Институт электроники и светотехники,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['154', 'очно']]","[{'education_form2': 'Очная', 'score': '154', 'free_places': '20', 'average_score': '181', 'olympic': 'no data', 'price': -127500}]"
Управление качеством,"Менеджмент качества и
технологии организационного
развития",27.03.02,МГУ имени Н.П. Огарева,Экономический институт,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['166', 'очно']]","[{'education_form2': 'Очная', 'score': '166', 'free_places': '19', 'average_score': '193', 'olympic': '5%', 'price': -127500}]"
Агрономия,Без профиля,35.03.04,МГУ имени Н.П. Огарева,Аграрный институт,"[['РЯ'], ['Б'], ['M', 'Х']]","[['130', 'очно']]","[{'education_form2': 'Очная', 'score': '130', 'free_places': '25', 'average_score': '183', 'olympic': 'no data', 'price': -127500}]"
