direction,profile,program_code,vuz,faculty,exams,scores,forms
Экология и природопользование,Экологическое проектирование,05.03.06,МГУТУ им. К.Г. Разумовского,Факультет биотехнологий и рыбного хозяйства,"[['РЯ'], ['Г'], ['Б', 'M']]","[['165', 'очно'], ['200', 'заоч.']]","[{'education_form2': 'Очная', 'score': '165', 'free_places': '20', 'average_score': '185', 'olympic': 'no data', 'price': -229000}, {'education_form2': 'Заочная', 'score': '200', 'free_places': '5', 'average_score': '185', 'olympic': 'no data', 'price': -68000}]"
Биология,"Исследования в молекулярной и
клеточной биологии",06.03.01,МГУТУ им. К.Г. Разумовского,Факультет биотехнологий и рыбного хозяйства,"[['РЯ'], ['Б'], ['M', 'Х']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -229000}]"
Информатика и вычислительная техника,Проектирование и разработка программного обеспечения,09.03.01,МГУТУ им. К.Г. Разумовского,Факультет цифровых технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['222', 'очно']]","[{'education_form2': 'Очная', 'score': '222', 'free_places': '50', 'average_score': '235', 'olympic': 'no data', 'price': -245000}]"
Прикладная информатика,Управление проектами в области информационных технологий,09.03.03,МГУТУ им. К.Г. Разумовского,Факультет цифровых технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['221', 'очно'], ['254', 'заоч.'], ['215', 'вечер.']]","[{'education_form2': 'Очная', 'score': '221', 'free_places': '50', 'average_score': '234', 'olympic': 'no data', 'price': -240000}, {'education_form2': 'Заочная', 'score': '254', 'free_places': '5', 'average_score': '234', 'olympic': 'no data', 'price': -105000}, {'education_form2': 'Очно-заочная', 'score': '215', 'free_places': '10', 'average_score': '234', 'olympic': 'no data', 'price': -115000}]"
Автоматизация технологических процессов и производств,"Проектирование средств и систем
автоматизации",15.03.04,МГУТУ им. К.Г. Разумовского,Факультет цифровых технологий,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['213', 'очно']]","[{'education_form2': 'Очная', 'score': '213', 'free_places': '20', 'average_score': '221', 'olympic': 'no data', 'price': -240000}]"
Автоматизация технологических процессов и производств,"Проектирование автоматизированных
систем",15.03.04,МГУТУ им. К.Г. Разумовского,Факультет цифровых технологий,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['243', 'заоч.'], ['197', 'вечер.']]","[{'education_form2': 'Заочная', 'score': '243', 'free_places': '5', 'average_score': 'no data', 'olympic': 'no data', 'price': -105000}, {'education_form2': 'Очно-заочная', 'score': '197', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -115000}]"
"Холодильная, криогенная техника и системы жизнеобеспечения",Проектирование систем холодоснабжения в аграрном и рыбохозяйственном комплексе,16.03.03,МГУТУ им. К.Г. Разумовского,Факультет биотехнологий и рыбного хозяйства,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['181', 'очно']]","[{'education_form2': 'Очная', 'score': '181', 'free_places': '10', 'average_score': '192', 'olympic': 'no data', 'price': -266000}]"
Химическая технология,Технология переработки полимерных и композиционных материалов,18.03.01,МГУТУ им. К.Г. Разумовского,Факультет пищевых технологий и биоинженерии,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['169', 'очно'], ['227', 'заоч.']]","[{'education_form2': 'Очная', 'score': '169', 'free_places': '20', 'average_score': '198', 'olympic': 'no data', 'price': -229000}, {'education_form2': 'Заочная', 'score': '227', 'free_places': '5', 'average_score': '198', 'olympic': 'no data', 'price': -85000}]"
Биотехнология,Пищевая биотехнология,19.03.01,МГУТУ им. К.Г. Разумовского,Факультет пищевых технологий и биоинженерии,"[['РЯ'], ['M'], ['Б', 'Х']]","[['200', 'очно']]","[{'education_form2': 'Очная', 'score': '200', 'free_places': '19', 'average_score': '220', 'olympic': 'no data', 'price': -239000}]"
Продукты питания из растительного сырья,Технологии сахаристых и кондитерских продуктов,19.03.02,МГУТУ им. К.Г. Разумовского,Факультет пищевых технологий и биоинженерии,"[['РЯ'], ['M'], ['Б', 'Х']]","[['181', 'очно'], ['213', 'заоч.']]","[{'education_form2': 'Очная', 'score': '181', 'free_places': '19', 'average_score': '199', 'olympic': 'no data', 'price': -239000}, {'education_form2': 'Заочная', 'score': '213', 'free_places': '5', 'average_score': '199', 'olympic': 'no data', 'price': -85000}]"
Продукты питания из растительного сырья,Технологии бродильных производств и виноделие,19.03.02,МГУТУ им. К.Г. Разумовского,Факультет пищевых технологий и биоинженерии,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['197', 'очно'], ['239', 'заоч.']]","[{'education_form2': 'Очная', 'score': '197', 'free_places': '18', 'average_score': '211', 'olympic': 'no data', 'price': -239000}, {'education_form2': 'Заочная', 'score': '239', 'free_places': '5', 'average_score': '211', 'olympic': 'no data', 'price': -85000}]"
Продукты питания из растительного сырья,"Технологии хлеба, кондитерских и макаронных изделий функционального и специализированного назначения",19.03.02,МГУТУ им. К.Г. Разумовского,Факультет пищевых технологий и биоинженерии,"[['РЯ'], ['M'], ['Б', 'Х']]","[['166', 'очно'], ['195', 'заоч.']]","[{'education_form2': 'Очная', 'score': '166', 'free_places': '19', 'average_score': '181', 'olympic': 'no data', 'price': -239000}, {'education_form2': 'Заочная', 'score': '195', 'free_places': '5', 'average_score': '181', 'olympic': 'no data', 'price': -85000}]"
Технология продукции и организация общественного питания,Управление ресторанным бизнесом,19.03.04,МГУТУ им. К.Г. Разумовского,Факультет пищевых технологий и биоинженерии,"[['РЯ'], ['M'], ['Б', 'Ф']]","[['203', 'очно'], ['258', 'заоч.']]","[{'education_form2': 'Очная', 'score': '203', 'free_places': '15', 'average_score': '227', 'olympic': '7%', 'price': -250000}, {'education_form2': 'Заочная', 'score': '258', 'free_places': '5', 'average_score': '227', 'olympic': '20%', 'price': -120000}]"
Техносферная безопасность,Надзор в сфере охраны труда и готовности к чрезвычайным ситуациям,20.03.01,МГУТУ им. К.Г. Разумовского,Факультет цифровых технологий,"[['РЯ'], ['M'], ['Ф', 'Х']]","[['171', 'очно']]","[{'education_form2': 'Очная', 'score': '171', 'free_places': '30', 'average_score': '192', 'olympic': 'no data', 'price': -240000}]"
Управление качеством,Управление качеством в технологических системах,27.03.02,МГУТУ им. К.Г. Разумовского,Факультет цифровых технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['197', 'очно'], ['242', 'заоч.']]","[{'education_form2': 'Очная', 'score': '197', 'free_places': '30', 'average_score': '211', 'olympic': 'no data', 'price': -240000}, {'education_form2': 'Заочная', 'score': '242', 'free_places': '5', 'average_score': '211', 'olympic': 'no data', 'price': -82000}]"
Конструирование изделий легкой промышленности,Конструирование и дизайн одежды,29.03.05,МГУТУ им. К.Г. Разумовского,Факультет дизайна,"[['РЯ'], ['M'], ['ДЭ']]","[['91', 'очно']]","[{'education_form2': 'Очная', 'score': '91', 'free_places': '15', 'average_score': '134', 'olympic': 'no data', 'price': -229000}]"
Водные биоресурсы и аквакультура,Технологии аквакультуры,35.03.08,МГУТУ им. К.Г. Разумовского,Факультет биотехнологий и рыбного хозяйства,"[['РЯ'], ['Б'], ['M', 'Х']]","[['194', 'очно'], ['227', 'заоч.']]","[{'education_form2': 'Очная', 'score': '194', 'free_places': '17', 'average_score': '210', 'olympic': 'no data', 'price': -229000}, {'education_form2': 'Заочная', 'score': '227', 'free_places': '5', 'average_score': '210', 'olympic': 'no data', 'price': -68000}]"
Ландшафтная архитектура,Ландшафтное проектирование,35.03.10,МГУТУ им. К.Г. Разумовского,Факультет дизайна,"[['РЯ'], ['M'], ['Г', 'Ф']]","[['201', 'очно']]","[{'education_form2': 'Очная', 'score': '201', 'free_places': '18', 'average_score': '235', 'olympic': 'no data', 'price': -229000}]"
Психология,Психологическое консультирование и психодиагностика,37.03.01,МГУТУ им. К.Г. Разумовского,Факультет социально-гуманитарных технологий,"[['РЯ'], ['Б'], ['M', 'О']]","[['223', 'вечер.']]","[{'education_form2': 'Очно-заочная', 'score': '223', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -105000}]"
Экономика,Финансы и бизнес-аналитика,38.03.01,МГУТУ им. К.Г. Разумовского,Факультет экономики и управления,"[['РЯ'], ['M'], ['И', 'О']]","[['232', 'вечер.']]","[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -235000}, {'education_form2': 'Очно-заочная', 'score': '232', 'free_places': '10', 'average_score': 'no data', 'olympic': 'no data', 'price': -120000}]"
